DATA,TOTAL,PRODUCAO M.O.,PRODUCAO INTERNA,CORTE,CORTE VOIL,BAINHA CONTINUA,BARRADO,EMENDA,OVERLOQUE,PALETEIRA,ACABAMENTO,FURO,ILHOS,DOBRA,EMBALAGEM,MÊS
21/02/2024,4912.99,214.16,4698.83,126.52,624.88,416.17,798.06,27.95,0.0,492.72,397.68,373.7,496.96,772.35,171.84,FEVEREIRO
22/02/2024,6361.41,177.23,6184.18,179.41,1077.72,190.37,978.47,0.0,0.0,432.19,800.6,531.08,941.75,861.21,191.38,FEVEREIRO
23/02/2024,5917.3099999999995,371.08,5546.23,218.12,515.41,70.69,1118.33,0.0,0.0,563.02,712.56,636.26,724.8,807.19,179.85,FEVEREIRO
26/02/2024,6259.75,220.1,6039.65,177.16,1077.44,123.89,873.92,0.0,5.3,671.33,673.23,443.19,690.9,1066.24,237.05,FEVEREIRO
27/02/2024,5051.98,83.45,4968.53,225.98,335.19,254.94,957.61,0.0,0.0,315.91,594.21,467.37,767.32,859.09,190.91,FEVEREIRO
28/02/2024,5387.16,111.53,5275.63,142.59,914.33,197.09,944.07,0.0,0.0,504.11,481.45,408.85,704.11,800.6,178.43,FEVEREIRO
29/02/2024,6779.38,298.03,6481.35,71.36,1366.1,353.04,1203.31,0.0,0.0,488.93,671.95,433.57,676.3,995.51,221.28,FEVEREIRO
01/03/2024,5224.11,296.11,4928.0,200.38,703.86,133.99,1082.55,0.0,0.0,562.16,665.96,448.68,664.33,380.88,85.21,MARÇO
04/03/2024,4150.53,80.33,4070.2,124.21,216.57,338.93,811.07,0.0,11.89,523.62,466.14,478.83,667.8,352.75,78.39,MARÇO
05/03/2024,4988.81,191.14,4797.67,167.02,637.18,165.02,976.09,0.0,27.6,410.77,468.15,413.62,633.7,735.15,163.37,MARÇO
06/03/2024,5501.18,214.76,5286.42,198.62,638.26,195.37,858.62,88.28,16.42,621.51,627.81,499.39,813.34,596.03,132.77,MARÇO
07/03/2024,5102.84,453.14,4649.7,245.17,472.17,172.49,813.95,44.14,94.4,636.99,578.44,412.27,397.8,638.99,142.89,MARÇO
08/03/2024,5774.820000000001,301.47,5473.35,0.0,699.87,315.76,780.7,0.0,0.0,710.73,644.7,346.17,745.69,1005.63,224.1,MARÇO
11/03/2024,5424.54,119.25,5305.29,238.46,694.27,111.64,1165.58,0.0,8.18,525.75,592.9,415.72,449.11,902.88,200.8,MARÇO
12/03/2024,6094.7699999999995,353.95,5740.82,168.08,539.18,242.58,1210.19,0.0,1.65,565.78,585.05,418.46,924.89,887.69,197.27,MARÇO
13/03/2024,5623.62,311.91,5311.71,155.21,806.49,191.0,951.34,0.0,0.0,567.34,510.12,619.94,760.64,613.33,136.3,MARÇO
14/03/2024,6438.969999999999,685.65,5753.32,60.42,555.4,121.05,1033.29,0.0,4.24,501.4,499.05,473.84,1084.11,1161.82,258.7,MARÇO
15/03/2024,4829.099999999999,201.86,4627.24,391.82,665.24,172.09,1058.48,0.0,13.3,383.88,475.07,441.63,204.89,671.6,149.24,MARÇO
18/03/2024,5211.459999999999,282.48,4928.98,208.14,348.96,200.03,759.28,29.43,36.43,462.36,630.11,462.99,685.81,865.57,239.87,MARÇO
19/03/2024,5067.7,47.08,5020.62,361.36,476.54,131.53,811.31,32.37,7.42,537.01,499.75,407.98,873.66,721.38,160.31,MARÇO
20/03/2024,6074.0599999999995,145.41,5928.65,456.36,427.2,0.0,1022.17,26.48,46.43,593.68,525.11,591.01,987.06,1025.05,228.1,MARÇO
21/03/2024,6082.57,249.17,5833.4,337.3,360.3,186.73,770.91,0.0,19.42,491.4,493.8,539.97,905.5,1413.58,314.49,MARÇO
22/03/2024,6004.35,385.35,5619.0,219.42,177.09,71.58,683.54,0.0,0.0,697.73,793.6,665.06,1052.53,1029.64,228.81,MARÇO
23/03/2024,1687.16,464.68,1222.48,0.0,0.0,0.0,0.0,0.0,0.0,273.78,238.13,152.41,76.53,394.06,87.57,MARÇO
25/03/2024,6328.599999999999,411.95,5916.65,232.22,397.44,119.2,695.52,2.94,35.66,596.56,977.9,680.29,912.7,1036.0,230.22,MARÇO
26/03/2024,5733.5,247.17,5486.33,188.88,508.05,176.26,528.38,0.0,11.42,558.66,497.28,646.54,818.52,1270.1,282.24,MARÇO
27/03/2024,6285.759999999999,375.53,5910.23,2.47,475.94,190.73,863.83,5.89,2.12,522.0,582.63,689.42,1216.11,1111.68,247.41,MARÇO
28/03/2024,5551.27,188.67,5362.6,279.76,325.76,105.14,949.13,58.85,24.01,626.86,676.78,612.11,673.27,843.32,187.61,MARÇO
01/04/2024,5351.3,444.91,4906.39,173.78,217.24,210.21,615.39,0.0,0.41,787.52,575.23,604.77,979.5,606.51,135.83,ABRIL
02/04/2024,4568.14,289.68,4278.46,128.91,293.33,132.84,464.5,44.14,10.71,595.15,487.01,532.77,572.76,831.55,184.79,ABRIL
03/04/2024,5103.64,273.22,4830.42,159.57,430.34,100.28,509.17,88.28,4.41,741.03,609.86,417.6,712.23,864.62,193.03,ABRIL
04/04/2024,5128.75,186.93,4941.82,261.11,370.57,197.32,688.96,58.85,0.0,605.98,592.94,422.1,553.1,972.91,217.98,ABRIL
05/04/2024,6062.71,279.05,5783.66,277.83,712.52,109.17,666.24,0.0,2.47,635.79,760.11,425.72,726.33,1200.07,267.41,ABRIL
06/04/2024,1229.61,145.81,1083.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.95,243.98,294.63,212.92,47.32,ABRIL
08/04/2024,5566.07,125.07,5441.0,287.33,375.78,272.86,537.07,0.0,20.24,398.64,849.39,631.96,986.65,884.52,196.56,ABRIL
09/04/2024,6246.04,247.58,5998.46,223.04,758.99,275.74,824.9,0.0,19.16,548.78,575.85,678.67,957.87,929.01,206.45,ABRIL
10/04/2024,7109.97,296.6,6813.37,255.06,993.92,282.19,688.9,0.0,23.19,501.7,641.94,845.02,1378.09,984.44,218.92,ABRIL
11/04/2024,5556.85,479.18,5077.67,173.64,537.56,169.05,928.42,32.37,8.47,558.19,609.45,507.86,224.42,1083.66,244.58,ABRIL
12/04/2024,5012.02,351.81,4660.21,16.24,399.11,214.57,517.64,73.56,5.65,575.26,697.35,574.03,464.53,917.24,205.03,ABRIL
13/04/2024,557.31,51.91,505.4,280.03,225.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABRIL
15/04/2024,5193.65,78.74,5114.91,0.0,0.0,302.5,616.57,14.71,15.89,775.05,727.03,600.79,990.83,875.69,195.85,ABRIL
16/04/2024,5242.37,266.41,4975.96,0.0,0.0,80.76,1107.79,0.0,8.12,866.01,616.45,405.06,887.55,821.55,182.67,ABRIL
17/04/2024,5919.87,243.71,5676.16,0.0,0.0,215.89,976.79,0.0,0.0,761.84,690.59,726.51,1182.38,915.24,206.92,ABRIL
18/04/2024,6171.280000000001,270.47,5900.81,0.0,0.0,276.68,803.36,147.12,3.18,600.45,724.5,681.29,1058.8,1313.53,291.9,ABRIL
19/04/2024,4031.27,0.0,4031.27,0.0,0.0,262.71,994.89,0.0,0.0,524.35,706.02,468.94,0.0,878.98,195.38,ABRIL
22/04/2024,6521.64,317.5,6204.14,236.22,640.05,0.0,920.24,58.85,6.59,698.73,883.34,398.97,1149.9,986.21,225.04,ABRIL
23/04/2024,6980.5199999999995,374.29,6606.23,205.98,735.4,102.68,910.47,0.0,0.0,724.74,711.91,497.62,1212.99,1230.91,273.53,ABRIL
24/04/2024,5737.080000000001,82.77,5654.31,280.67,407.47,239.93,525.56,0.0,0.0,793.95,599.74,479.53,851.5,1207.6,268.36,ABRIL
25/04/2024,5352.2699999999995,121.11,5231.16,280.5,254.93,175.49,779.0,111.82,1.94,630.22,741.75,456.11,827.08,795.53,176.79,ABRIL
26/04/2024,5929.27,236.8,5692.47,272.05,519.13,38.84,770.76,173.61,0.0,688.31,604.23,491.29,925.0,989.39,219.86,ABRIL
29/04/2024,6240.85,166.31,6074.54,201.24,544.44,53.32,853.5,170.67,0.0,630.61,786.65,737.43,791.27,1067.89,237.52,ABRIL
30/04/2024,6079.66,221.57,5858.09,203.15,461.93,191.56,603.39,222.16,0.0,604.15,716.26,551.62,1084.49,997.63,221.75,ABRIL
02/05/2024,7111.54,181.96,6929.58,216.33,642.03,285.17,897.99,179.49,0.0,707.02,820.49,702.4,1062.15,1142.98,273.53,MAIO
03/05/2024,6442.21,205.63,6236.58,260.12,569.77,278.54,787.82,0.0,0.0,547.72,1019.64,718.17,760.93,1020.81,273.06,MAIO
06/05/2024,6336.81,227.21,6109.6,354.22,604.57,241.05,717.79,0.0,11.0,622.37,704.26,481.71,1109.0,1033.88,229.75,MAIO
07/05/2024,7111.7,172.44,6939.26,619.93,448.98,296.9,860.03,0.0,0.0,777.17,693.78,798.4,1135.36,1070.72,237.99,MAIO
08/05/2024,6493.28,131.59,6361.69,351.25,723.38,135.91,978.26,0.0,0.0,713.5,875.57,598.43,915.97,874.98,194.44,MAIO
09/05/2024,8194.29,261.27,7933.02,959.02,855.04,156.79,1223.61,0.0,0.0,612.86,705.14,572.95,1237.47,1317.3,292.84,MAIO
10/05/2024,6862.42,173.38,6689.04,191.85,938.83,285.6,829.02,0.0,0.0,705.96,651.59,504.03,1062.42,1240.56,279.18,MAIO
11/05/2024,45.9,0.0,45.9,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MAIO
13/05/2024,6571.35,148.22,6423.13,182.67,812.74,233.78,1047.53,155.95,0.0,700.28,760.62,579.51,885.81,870.74,193.5,MAIO
14/05/2024,6243.37,94.14,6149.23,226.93,392.82,226.16,1003.33,123.58,1.06,737.86,732.15,580.5,748.57,1126.04,250.23,MAIO
15/05/2024,7279.679999999999,221.11,7058.57,208.02,910.82,51.61,1272.4,0.0,0.0,831.7,1020.97,880.2,696.9,970.32,215.63,MAIO
16/05/2024,7382.06,130.14,7251.92,148.36,571.97,396.38,838.79,0.0,0.0,746.68,1084.85,637.29,1706.39,917.35,203.86,MAIO
17/05/2024,7198.98,0.0,7198.98,688.83,702.36,309.57,1029.23,0.0,0.0,855.53,805.22,828.58,1016.4,788.12,175.14,MAIO
20/05/2024,7353.35,23.54,7329.81,242.7,856.71,159.37,971.91,0.0,0.0,750.46,877.63,810.57,1066.1,1303.88,290.48,MAIO
21/05/2024,7190.33,44.49,7145.84,593.4,878.28,93.92,998.86,0.0,0.0,691.05,791.89,681.71,1126.39,1055.65,234.69,MAIO
22/05/2024,6872.62,173.78,6698.84,174.16,561.55,122.05,950.6,0.0,0.0,848.76,704.61,529.23,1193.04,1320.12,294.72,MAIO
23/05/2024,6631.5,215.98,6415.52,628.4,672.31,261.74,583.03,32.37,22.25,685.34,705.08,620.83,979.62,1001.86,222.69,MAIO
24/05/2024,8016.13,189.57,7826.56,322.17,952.23,115.64,1023.64,0.0,0.0,543.19,735.66,802.12,1031.11,1882.26,418.54,MAIO
25/05/2024,350.86,0.0,350.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.07,63.79,MAIO
27/05/2024,6354.57,222.98,6131.59,181.28,667.27,353.89,757.11,29.43,0.0,780.19,697.5,743.06,889.16,844.85,187.85,MAIO
28/05/2024,7873.46,295.13,7578.33,366.0,853.26,183.42,1423.82,0.0,0.0,772.99,754.63,713.9,1254.45,1027.52,228.34,MAIO
29/05/2024,6575.7,212.45,6363.25,247.17,618.6,209.06,1158.29,5.89,0.0,508.81,553.3,496.68,1000.16,1280.69,284.6,MAIO
31/05/2024,7152.38,564.96,6587.42,267.3,838.04,314.17,709.26,0.0,0.82,594.56,661.47,696.41,1085.11,1162.05,258.23,MAIO
01/06/2024,294.26,0.0,294.26,123.58,170.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JUNHO
03/06/2024,5918.13,247.17,5670.96,518.62,630.52,202.81,879.57,58.85,0.0,675.77,716.52,476.71,637.32,714.67,159.6,JUNHO
04/06/2024,6962.87,288.12,6674.75,551.34,524.27,46.61,1483.61,0.0,12.71,778.35,770.55,790.84,733.21,804.36,178.9,JUNHO
05/06/2024,6379.61,205.98,6173.63,216.71,394.85,419.95,955.55,0.0,0.0,637.7,597.37,864.41,824.75,1032.82,229.52,JUNHO
06/06/2024,7378.650000000001,617.93,6760.72,294.43,691.85,140.06,1113.82,14.71,0.0,851.44,664.12,559.31,1278.69,942.78,209.51,JUNHO
07/06/2024,6456.0599999999995,205.98,6250.08,209.09,484.81,278.6,912.29,58.85,0.0,812.08,737.33,626.55,1163.46,790.94,176.08,JUNHO
08/06/2024,138.54,0.0,138.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.35,25.19,JUNHO
10/06/2024,6000.12,299.9,5700.22,350.51,362.23,56.03,817.9,0.0,0.0,666.18,904.4,513.76,1008.98,834.73,185.5,JUNHO
11/06/2024,5909.709999999999,351.23,5558.48,203.7,715.49,34.19,870.69,14.71,0.0,807.33,812.25,622.54,872.83,494.58,110.17,JUNHO
12/06/2024,5248.969999999999,330.69,4918.28,188.98,542.15,168.41,960.14,0.0,0.0,596.33,657.41,477.47,681.1,490.46,155.83,JUNHO
13/06/2024,6052.5199999999995,183.91,5868.61,276.23,518.68,102.05,1289.64,0.0,2.12,642.68,796.24,320.1,713.85,987.39,219.63,JUNHO
14/06/2024,5179.2699999999995,202.83,4976.44,224.34,696.17,263.32,1045.94,0.0,16.95,433.4,739.74,580.47,410.33,462.91,102.87,JUNHO
15/06/2024,275.13,58.85,216.28,0.0,69.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.7,26.6,JUNHO
17/06/2024,6000.43,165.62,5834.81,424.2,566.83,159.48,841.44,0.0,0.0,650.4,609.52,547.64,1012.72,836.61,185.97,JUNHO
18/06/2024,5513.76,257.17,5256.59,122.05,379.29,105.02,830.9,0.0,0.0,608.92,555.78,535.14,849.15,1038.94,231.4,JUNHO
19/06/2024,5733.7300000000005,218.13,5515.6,181.56,571.25,146.18,820.6,100.05,15.42,540.48,798.08,328.8,847.12,953.96,212.1,JUNHO
20/06/2024,5929.31,164.85,5764.46,228.06,533.3,126.78,913.0,0.0,6.18,521.47,611.76,548.15,768.96,1232.79,274.01,JUNHO
21/06/2024,5239.139999999999,110.23,5128.91,174.51,528.44,134.47,860.95,45.61,0.0,584.79,664.7,500.12,675.95,784.94,174.43,JUNHO
22/06/2024,324.15,0.0,324.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.15,0.0,JUNHO
24/06/2024,6607.3,154.63,6452.67,235.89,444.48,128.76,1012.87,25.01,34.96,555.63,880.1,561.14,847.41,1412.4,314.02,JUNHO
25/06/2024,5375.85,176.21,5199.64,223.69,530.07,84.63,867.57,0.0,0.0,584.26,653.56,524.22,818.87,746.81,165.96,JUNHO
26/06/2024,5651.849999999999,192.07,5459.78,189.9,310.69,183.69,671.71,29.43,0.0,458.88,836.14,523.35,902.67,1107.09,246.23,JUNHO
27/06/2024,6112.16,218.75,5893.41,243.05,555.24,65.21,726.15,403.12,0.0,793.42,872.1,530.0,789.06,747.28,168.78,JUNHO
28/06/2024,6006.4,180.67,5825.73,240.05,741.16,227.29,794.65,50.02,1.79,636.52,904.35,593.6,909.97,594.27,132.06,JUNHO
29/06/2024,296.31,0.0,296.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.31,0.0,0.0,0.0,JUNHO
01/07/2024,5309.5,252.01,5057.49,103.4,178.88,124.94,490.1,41.2,33.9,602.57,1038.16,571.73,1005.04,579.44,288.13,JULHO
02/07/2024,5914.91,227.87,5687.04,234.48,519.42,188.26,590.91,5.89,22.25,714.44,760.7,582.85,774.67,981.97,311.2,JULHO
03/07/2024,5471.79,204.88,5266.91,212.68,487.02,204.44,776.08,0.0,3.88,724.15,776.94,521.46,753.54,640.76,165.96,JULHO
05/07/2024,4349.83,73.59,4276.24,145.01,879.66,118.64,884.69,5.89,34.96,717.73,244.52,119.86,176.26,776.47,172.55,JULHO
08/07/2024,5631.66,32.37,5599.29,270.0,460.01,141.95,734.68,29.43,41.78,775.29,1051.77,561.85,790.91,456.32,285.3,JULHO
10/07/2024,6035.21,0.0,6035.21,215.29,611.52,190.82,914.09,58.85,19.77,714.73,847.03,507.91,875.07,878.16,201.97,JULHO
11/07/2024,5482.84,253.35,5229.49,68.5,694.04,170.9,782.12,58.85,31.9,643.11,565.67,525.2,386.62,1060.12,242.46,JULHO
12/07/2024,5452.450000000001,246.93,5205.52,176.73,634.65,311.67,752.34,58.85,45.43,600.38,38.65,574.91,65.97,1592.13,353.81,JULHO
15/07/2024,6329.23,201.86,6127.37,210.86,611.88,180.82,887.58,0.0,78.62,510.92,778.75,671.77,871.57,1083.55,241.05,JULHO
16/07/2024,6457.900000000001,186.13,6271.77,369.7,565.98,42.73,736.1,223.63,10.95,736.51,989.92,594.89,849.79,796.59,354.98,JULHO
17/07/2024,5376.43,209.38,5167.05,210.41,562.88,172.3,562.43,10.3,21.48,422.95,428.25,692.85,578.76,1230.91,273.53,JULHO
18/07/2024,5804.33,170.99,5633.34,269.24,540.76,171.02,755.25,0.0,7.77,515.76,269.71,583.72,961.29,1275.4,283.42,JULHO
19/07/2024,6661.33,181.26,6480.07,210.45,703.55,247.89,683.25,29.43,8.36,429.02,668.59,457.16,1193.54,1512.68,336.15,JULHO
22/07/2024,5634.92,445.09,5189.83,136.24,739.96,299.63,676.48,29.43,0.0,405.89,727.74,313.84,1033.55,628.16,198.91,JULHO
23/07/2024,6862.85,643.94,6218.91,273.99,975.42,274.65,880.63,17.66,7.77,730.92,548.26,523.45,854.35,883.46,248.35,JULHO
24/07/2024,5951.0599999999995,204.4,5746.66,268.44,315.21,60.91,1171.2,29.43,57.44,633.05,785.68,506.94,848.94,874.98,194.44,JULHO
25/07/2024,5830.87,267.94,5562.93,218.99,0.0,0.0,1308.94,0.0,3.88,578.11,643.12,567.97,777.03,1190.65,274.24,JULHO
26/07/2024,5317.05,154.85,5162.2,163.86,400.59,272.4,795.92,0.0,2.59,380.17,913.12,508.63,752.6,795.53,176.79,JULHO
29/07/2024,6446.38,293.96,6152.42,224.28,852.97,214.68,794.86,35.31,3.88,645.3,756.42,544.97,712.08,887.69,479.98,JULHO
30/07/2024,6946.49,254.88,6691.61,235.54,830.07,267.56,872.92,0.0,1.06,605.13,656.88,518.79,799.86,1503.15,400.65,JULHO
31/07/2024,6348.9400000000005,185.59,6163.35,255.88,558.36,249.85,968.97,0.0,0.0,611.2,698.74,469.2,759.61,1300.59,290.95,JULHO
01/08/2024,5933.21,172.03,5761.18,281.01,539.14,249.11,1094.26,0.0,5.18,507.61,905.17,421.08,646.47,909.94,202.21,AGOSTO
02/08/2024,5958.5,212.91,5745.59,431.31,910.74,124.2,578.35,0.0,5.89,640.88,828.14,438.31,550.04,1012.69,225.04,AGOSTO
